Date,City,Province,Incident,Type of Violence,Age of Victim,Gender of Victim,Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),News Report Link,Follow-up?,Follow-up link,Headlines
"25th January, 2021",Kasur,Punjab,Police arrested its assistant sub-inspector (ASI) and lodged a criminal case against him for allegedly raping a woman at gunpoint,Rape,,Female,,,,,https://www.dawn.com/news/1603384/asi-held-in-rape-case,,,
"25th January, 2021",Sargodha,Punjab,Woman axed to death by brother in law,"Domestic violence, murder",,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-01-26/YmRlZGFiMmQ4NTE0ZDBjZjFkMDYyZDAxOWU5MzE0ZTYuanBlZw%3D%3D,,,
"25th January, 2021",Batkhela,KP,A transgender person was stabbed multiple times heading to a music party with others. They were stopped by some people who tried looting them,"Torture, robbery",,Transgender,,,,,https://tribune.com.pk/story/2281492/transgender-stabbed-multiple-times-in-k-p,,,
"26th January, 2021",Lahore,Punjab,"Doctor held for raping girl in his private hostel, calling her there on the pretext of giving her a job",Rape,,Female,,,,,https://www.dawn.com/news/1603973/doctor-held-for-raping-girl,,,
"26th January, 2021",Rawalpindi,Punjab,"Women subjected to violene throughout 18 years of marriage, subjected to beating, hair forcibly cut and clothes torn",Domestic violence,,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-01-27/ZmQxMDVlNjY4NzRiODVjMTc0MWNiYjMzMGUwMTI4ZmQuanBlZw%3D%3D,,,
"26th January, 2021",Rawalpindi,Punjab,Woman subjected to volience after trying to stop son from being beat up by husband,Domestic violence,,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-01-27/ZmQxMDVlNjY4NzRiODVjMTc0MWNiYjMzMGUwMTI4ZmQuanBlZw%3D%3D,,,
"26th January, 2021",Rawalpindi,Punjab,Man held and tried (and convicted) for raping a 5 year old girl [reported in march 2021],"Child abuse, rape, abduction",5,Female,,,,,https://tribune.com.pk/story/2287603/man-who-raped-five-year-old-girl-gets-death-sentence,Yes,,
"27th January, 2021",Lahore,Punjab,A woman was reportedly murdered after sexual assault during robbery,"Robbery, rape, murdered",,Female,,,,,https://tribune.com.pk/story/2281630/woman-raped-killed-during-robbery,,,
"28th January, 2021",Karachi,Sindh,A man was arrested for allegedly sexually abusing a minor boy on a beach. The police took an action after a video of the incident circulated on social media. ,"Child abuse, molested","Unknown, but minor",Male,,,,,https://www.thenews.com.pk/print/781407-man-held-for-molesting-minor-boy-on-beach,,,
"28th January, 2021",Taxila,Punjab,A man was arrested for allegedly sexually assaulting a boy in a graveyard,"Child abuse, rape","Unknown, but minor",Male,,,,,https://www.dawn.com/news/1604174/boy-sexually-assaulted,,,
"28th January, 2021",Lahore,Punjab,"A minor domestic worker was tortured, raped and murdered","Child abuse, torture, rape, murder",13,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-01-29/YTFlYmY2MDkwNzA1OWUyZjdmNTgyNDA1Mzc2N2IxNzIuanBlZw%3D%3D,,,
"28th January, 2021",Hyderabad,Sindh,Man kills sister,"Domestic violence, murder",,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-01-30/MTdhNGU5YWViYjVlMTZhMGE4MGY5MWZmODIyNzlmNWMuanBlZw%3D%3D,,,
"28th January, 2021",Khurrianwala,Punjab,Police apprehended a suspect for killing his sister for not serving food on time,"Child abuse, domestic violence, murder",15,Female,,,,,https://tribune.com.pk/story/2281756/man-kills-sister-for-not-serving-food-on-time,,,
"28th January, 2021",Rawalpindi,Punjab,The Federal Investigation Agency’s (FIA) Cyber Crime Wingarrested a man for allegedly blackmailing his female friend into having an illicit relationship with him by threatening to upload inappropriate videos and pictures of her on social media.,"Online harassment, non-consensual filming, blackmailing",,Female,,,,,https://tribune.com.pk/story/2281738/man-arrested-for-blackmailing-girl-into-having-illicit-relationship,,,
"28th January, 2021",Sialkot,Punjab,The Police have filed a charge sheet against six men accused of harassing a transgender. The incident involved the victim being insulted and brutally beaten up by a group of men. The incident was reported after a video went viral on social media.,"Harassment, torture",,Transgender,,,,,https://tribune.com.pk/story/2281905/six-booked-for-attacking-transgender,,,
"29th January, 2021",Narowal,Punjab,A 20-year-old girl was shot dead allegedly for getting married against the wishes of her family,"Domestic violence, murder, honour killing",20,Female,,,,,https://www.dawn.com/news/1604390/girl-killed-by-family-over-husbands-plea-for-her-recovery,,,
"29th January, 2021",Toba Tek Singh,Punjab,A man strangled his daughter and shot dead his nephew over what he alleged their affair,"Domestic violence, murder, honour killing",,Female,Male,,,,https://www.dawn.com/news/1604385/man-kills-daughter-nephew-for-honour,,,
"29th January, 2021",Vehari,Punjab,A man allegedly killed his sister over a property issue,"Domestic violence, murder",50,Female,,,,,https://www.dawn.com/news/1604393/man-kills-sister-over-property-row,,,
"29th January, 2021",Swat,KP,Minor girl given as swara to settle family dispute,Child abuse,6,Female,,,,,https://tribune.com.pk/epaper/news/Islamabad/2021-01-30/MmJiYzQxZTdmMTI5MmFmOTJhYWUyNmNlZGM5ZjBlNjkuanBlZw%3D%3D,,,
"30th January, 2021",Sheikhupura,Punjab,"A man killed four women of his family, including his old mother, in the name of so-called honour ","Honour killing, murder",,Female,Female,Female,Female,,https://www.dawn.com/news/1604565/man-kills-four-women-of-family-for-honour-in-sheikhupura; https://tribune.com.pk/story/2282048/man-slays-four-women-of-family,,,
"30th January, 2021",Hyderabad,Sindh,Man guns down wife for not allowing him ot marry for a second time,"Domestic violence, muder",,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-01-31/YmIzODQ0NzM2MGM4ZWQ3N2IwNTVmNjYwMWI5ODMyN2YuanBlZw%3D%3D,,,
"30th January, 2021",Dijkot,Punjab,Woman cuts off man's genitals for refusing to have sex with her,Torture,20,Male,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-01-31/MzZjYzM2ZDg5YzZjNjRiZjExZmI4MmY4MWQ3ZGU4OTIuanBlZw%3D%3D,,,
"31st January, 2021",Dijkot,Punjab,A minor firl was alone in her house when her brother-in-law assaulted her,"Child abuse, rape",14,Female,,,,,https://tribune.com.pk/story/2282146/two-teenage-girls-sexually-assaulted,,,
"31st January, 2021",Dijkot,Punjab,Two men entered the house and gang raped a woman at gunpoint.,Gang rape,,Female,,,,,https://tribune.com.pk/story/2282146/two-teenage-girls-sexually-assaulted,,,
"31st January, 2021",Rawalpindi,Punjab,"A girl was harassed by the suspect at the market by the suspect a day ago. The victim started screaming after which two boys standing nearby came for help, upon which the suspect had fled. A day later he broke into her house to try to strangle her.","Harassment, attempted murder",17,Female,,,,,https://tribune.com.pk/story/2282289/two-held-for-sexual-assaults-on-minors,,,
"1st February, 2021",Lakki Marwat,KP,A man shot dead a female relative and her alleged paramour after finding them together in house,"Honour killing, murder",,Male,Female,,,,https://www.dawn.com/news/1604784/man-woman-killed-for-honour-in-bannu,,,
"1st February, 2021",Swabi,KP,Man held by police for murdering wife with father's help two years ago,"Domestic violence, murder",,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-02-04/NWIxYTE2OGQ0YjExZGM0YmIwNTU2MTE5ZDUzNWQxMDguanBlZw%3D%3D,,,
"1st February, 2021",Rawalpindi,Punjab,A minor girl was sexually assaulted after going out to play.,"Child abuse, sexual assault",4,Female,,,,,https://tribune.com.pk/story/2282289/two-held-for-sexual-assaults-on-minors,,,
"1st February, 2021",Rawalpindi,Punjab,A minor boy was taken by the accused to an under-construction house where the suspect attempted to molest him.,"Child abuse, sexual assault",10,Male,,,,,https://tribune.com.pk/story/2282289/two-held-for-sexual-assaults-on-minors,,,
"2nd February, 2021",Lahore,Punjab,A woman tortured to death by her in-laws ‘for not giving birth to a baby boy’,"Domestic violence, murder",30,Female,,,,,https://www.dawn.com/news/1605128/woman-tortured-to-death-by-in-laws-in-lahore,,,
"2nd February, 2021",Mirsansha,KP,A man and pregnant woman were stabbed to death in an honour killing,"Honour killing, murder",,Male,Female,,,,https://tribune.com.pk/epaper/news/Islamabad/2021-02-03/MDFhNzc3ZTA2YmMzMGZkYmVmZDc0YzgyMzk3NWE1N2QuanBlZw%3D%3D,,,
"3rd February, 2021",Gujrawala,Punjab,The FIA cybercrime wing arrested a suspect for child pornography.,"Child abuse, child pornography",,Male,,,,,https://www.dawn.com/news/1605291/man-arrested-on-charges-of-child-pornography,,,
"3rd February, 2021",Quetta,Balochistan,Police arrest 4 in sexual assault case (reported Feb 7),"Child abuse, sexual assault",15,Male,,,,,https://tribune.com.pk/epaper/news/Islamabad/2021-02-07/ZGJkZTU3YmM3N2QwMTA0ZTZhNGZiM2Y0MDY4OTM1MmYuanBlZw%3D%3D,,,
"3rd February, 2021",Khurrianwala,Punjab,A man stabbed his wife to death using a cleaver in the name of honour,"Honour killing, murder",36,Female,,,,,https://tribune.com.pk/story/2282576/man-murders-wife-for-honour,,,
"3rd February, 2021",Khurrianwala,Punjab,The police arrested a man accused by his wife of raping their minor daughter at gunpoint.,"Child abuse, rape",16,Female,,,,,https://tribune.com.pk/story/2282423/man-accused-by-wife-of-raping-daughter,,,
"3rd February, 2021",Khurrianwala,Punjab,Two allegedly took the daughter of Sadiq a woman to a house on the pretext of giving her a job and sexually assaulted her at gunpoint.,Gang rape,,Female,,,,,https://tribune.com.pk/story/2282423/man-accused-by-wife-of-raping-daughter,,,
"3rd February, 2021",Khurrianwala,Punjab,A man was accused in a case of sexually assaulting the wife of his colleague. The incident reportedly took place at the home of the victim.,Rape,,Female,,,,,https://tribune.com.pk/story/2282423/man-accused-by-wife-of-raping-daughter,,,
"3rd February, 2021",Khurrianwala,Punjab,Two men entered a house and allegedly sexually assaulted a woman while her husband had gone to work.,Gang rape,,Female,,,,,https://tribune.com.pk/story/2282423/man-accused-by-wife-of-raping-daughter,,,
"4th February, 2021",Kasur,Punjab,In-laws allegedly put a man on fire after he went to his in-laws to bring back his estrange wife.,Domestic violence,,Male,,,,,https://www.dawn.com/news/1605541/man-burnt-by-in-laws,,,
"5th February, 2021",Karachi,Punjab,A man “suffering from some mental disorder” beat his elderly father to death,Domestic violence,65,Male,,,,,https://www.dawn.com/news/1605692/mentally-disturbed-man-beats-father-to-death-in-karachi,,,
"5th February, 2021",Gujrat,Punjab,A 50-year-old woman and her 17-year-old son were gunned down over an honour-related issue over son's love marriage,"Honour killing, murder","17, 50",Female,Male,,,,https://www.dawn.com/news/1605654/two-gunned-down-over-honour-issue,,,
"5th February, 2021",Chitral,KP,"An enraged man shot dead a woman relative, and injured his wife and mother-in-law after entering his father-in-law’s house","Domestic violence, murder",,Female,Female,Female,,,https://www.dawn.com/news/1605718/chitral-man-kills-woman-injures-wife-mother-in-law,,,
"5th February, 2021",Lahore,Punjab,A 20-year-old woman was allegedly gang-raped by two of her neighbours inside her home,Gang rape,20,Female,,,,,https://tribune.com.pk/story/2282800/young-woman-gang-raped-by-neighbours-in-lahore,,,
"5th February, 2021",Kasur,Punjab,"Family of a missing boy who was found dead, demand that charges of sexual assault be added by the police","Child abuse, kidnapping, murder, sexual assault",15,Male,,,,,https://tribune.com.pk/story/2283064/murder-of-teenage-boy-sparks-protest,,,
"6th February, 2021",Multan,Punjab,The FIA arrested two men on suspicion of their links to an international child pornography ring following a tip from Italy through Int­erpol,Child pornography,,,,,,,https://www.dawn.com/news/1605955/two-linked-to-international-child-porn-ring-arrested,,,
"6th February, 2021",Sukkur,Sindh,A man allegedly shot dead his young niece and a youth over suspicion of an extramarital relationship between them,"Honour killing, murder",,Male,Female,,,,https://www.dawn.com/news/1605901/man-kills-niece-youth-for-honour,,,
"7th February, 2021",Gujjar Khan,Punjab,A man arrested on charges of sexually assaulting a 14-year-old boy,"Child abuse, sexual assault",14,Male,,,,,https://www.dawn.com/news/1606068/man-held-for-assaulting-boy,,,
"7th February, 2021",Dijkot,Punjab,A man was allegedly tortured to death by his in-laws,"Domestic violence, murder",,Male,,,,,https://tribune.com.pk/story/2283298/man-tortured-to-death-by-in-laws,,,
"9th February, 2021",Taxila,Punjab,Police arrested a man for allegedly abducting and attempting to assault a minor girl,"Child abuse, attepted sexual assault, kidnapping",6,Female,,,,,https://www.dawn.com/news/1606436/man-held-for-trying-to-assault-minor-girl,,,
"9th February, 2021",Karachi,Sindh,16 year old in college kidnapped and gang raped,"Child abuse, gang rape, kidnapping",16,Female,,,,,https://www.thenews.com.pk/print/789197-three-held-for-gang-rape-of-college-girl,Yes,https://www.dawn.com/news/1609586/rape-victim-identifies-suspects,
"9th February, 2021",Faislabad,Punjab,Man shot his wife over domestic dispute,"Domestic violence, murder",,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-02-10/ZDU1OTI2YjRlY2MxMmE1ZGU2ZWMyNTY1NDEzMTE2ZWYuanBlZw%3D%3D,,,
"9th February, 2021",Mardan,KP,A woman committed suicide over being fored to get engaged to a boy she did not like.,Suicide,35,Female,,,,,https://tribune.com.pk/story/2283193/girl-commits-suicide-over-engagement,,,
"10th February, 2021",Larkana,Sindh,Police claimed to have arrested a suspect of sexual assault on a six-year-old girl about a week ago,"Child abuse, rape",6,Female,,,,,https://www.dawn.com/news/1606598/child-rapist-held,,,
"10th February, 2021",Gujranwala,Punjab,Two transgender persons were allegedly shot dead by unidentified assailants ,Murder,,Transgender,Transgender,,,,https://tribune.com.pk/story/2283474/two-transgender-persons-murdered-in-gujranwala,,,
"11th February, 2021",Bahawalpur,Punjab,A man allegedly committed suicide after killing his wife and daughter after quarrel with his wife,"Domestic violence, murder",24,Female,Female,,,,https://www.dawn.com/news/1606795/man-kills-self-wife-and-daughter,,,
"11th February, 2021",Peshawar,KP,Transgender person tortured and kidnapped,"Torture, kidnapping",,Transgender,,,,,https://www.thenews.com.pk/print/788800-transgender-persons-stage-protest; https://www.dawn.com/news/1606871/transgender-persons-seek-protection,,,
"11th February, 2021",Narowal,Punjab,"A man allegedly subjected his pregnant wife to brutal torture and attempted to burn her alive along with their two children after his poor in-laws could not give her Rs200,000, he had demanded.","Domestic violence, torture",,Female,,,,,https://www.dawn.com/news/1606796/man-attempts-to-burn-wife-kids,,,
"12th February, 2021",Lahore,Punjab,Woman's tortured dead body recovered,"Murder, torture",55,Female,,,,,https://www.thenews.com.pk/print/788831-woman-55-recovered-dead-from-nullah,,,
"12th February, 2021",Karachi,Sindh,First year student gang raped,"Gang rape, kidnapping",,Female,,,,,https://www.dawn.com/news/1607007/first-year-girl-gang-raped-in-karachi-three-suspects-held; https://www.dawn.com/news/1607455/two-more-gang-rape-suspects-held,,,
"12th February, 2021",Khurrianwala,Punjab,A man killed his wife with an axe out of resentment for not having children and not naming a property. He then dismembered her body and threw it in a nallah.,"Domestic violence, murder",30,Female,,,,,https://tribune.com.pk/story/2283651/man-hacks-wife-for-being-nulliparous,,,
"12th February, 2021",Muridwala,Punjab,A six-year-old boy was injured allegedly after the assailants’ attempt to rape him failed.,"Child abuse, rape attempy, torture",6,Male,,,,,https://tribune.com.pk/story/2283650/minors-genitals-mutilated-for-resisting-rape-attempt,,,
"12th February, 2021",Dijkot,Punjab,"A woman, who ran away from her home, was killed by her brother and buried in a nearby graveyard.","Honour killing, murder",32,Female,,,,,https://tribune.com.pk/story/2283836/two-women-allegedly-murdered,,,
"12th February, 2021",Dijkot,Punjab,"In a domestic dispute, a man stabbed his pregnant wife to death and injured himself.","Domestic violence, murder",32,Female,,,,,https://tribune.com.pk/story/2283836/two-women-allegedly-murdered,,,
"13th February, 2021",Lahore,Punjab,Woman shot dead by her son over domestic dispute,"Domestic violence, murder",45,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-02-14/ZTNhMWE0ZmJiMTVkYTFjYWVkYjM3ZjZlZDg4OTRkODMuanBlZw%3D%3D,,,
"13th February, 2021",Khurrianwala,Punjab,A woman was raped by her father in law,"Domestic violence, rape",,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-02-14/NTg0YTgxN2E2YmM4ZmVmMWRhYmRhMDNkOWI3NzEwZDguanBlZw%3D%3D,,,
"14th February, 2021",Lahore,Punjab,A woman was shot dead allegedly by her son over money,"Domestic violence, murder",45,Female,,,,,https://www.dawn.com/news/1607363/woman-killed-by-son-over-money,,,
"14th February, 2021",Dijkot,Punjab,A minor boy was allegedly sexually assaulted by a neighbour,"Child abuse, rape",6,Male,,,,,https://tribune.com.pk/story/2284175/minor-boy-sexually-assaulted-in-dijkot-1,,,
"15th February, 2021",Gujrawala,Punjab,Police arrested a man for attempting to sexually abuse a minor boy.,"Child abuse, attempted rape",8,Male,,,,,https://www.dawn.com/news/1607554/man-booked-for-abuse-attempt-on-minor,,,
"16th February, 2021",Taxila,Punjab,A woman was shot dead allegedly by her brother-in-law over a domestic dispute,"Domestic violence, murder",,Female,,,,,https://www.dawn.com/news/1607730/married-woman-shot-dead,,,
"16th February, 2021",Wah Cantt,Punjab,A man shot dead his sister-in-law over a domestic dispute,"Domestic violence, murder",,Female,,,,,https://www.dawn.com/news/1607902/man-held-for-killing-sister-in-law,,,
"16th February, 2021",Karachi,Sindh,A court remanded a National Database and Registration Authority (NADRA) employee accused of harassing a woman. The accused uses mobile numbers registered with the regulatory body to contact women and send illicit content to them.,"Harassment, online harassment, privacy breach",,Female,,,,,https://tribune.com.pk/story/2284581/harassment-accused-remanded-in-karachi,,,
"17th February, 2021",Dadu,Sindh,A three-year-old minor girl was subjected to rape and left battling for life,"Child abuse, rape",3,Female,,,,,https://www.dawn.com/news/1607932/three-year-old-girl-in-dadu-battles-for-life-after-rape,Yes,https://www.dawn.com/news/1608110/suspected-child-rapist-remanded-in-police-cusody; https://tribune.com.pk/story/2285316/shc-summons-dadu-dc-ssp-in-minor-girl-rape-case?amp=1; https://tribune.com.pk/story/2285698/shc-seeks-progress-report-in-minors-rape-case,
"18th February, 2021",Sukkur,Sindh,Four men subjected a teenage boy to ruthless violence and gang rape after abducting him,"Child abuse, gang rape, kidnapping, torture",14,Male,,,,,https://www.dawn.com/news/1608105/teenage-boy-molested-tortured,,,
"18th February, 2021",Lahore,Punjab,Police registered a murder case against a man for killing his would-be fiancee,"Domestic violence, murder",,Female,,,,,https://www.dawn.com/news/1608137/man-booked-for-murder,,,
"18th February, 2021",Kohat,KP,Police arrested a man for killing his young granddaughter and injuring a boy in the name of honour,"Honour killing, murder",,Female,Male,,,,https://www.dawn.com/news/1608092/weapons-seized-man-held-for-killing-granddaughter-in-kohat; https://tribune.com.pk/story/2284966/girl-killed-in-the-name-of-honour-in-kohat,,,
"18th February, 2021",Rawalpindi,Punjab,Man held for rape attempt on minor,"Child abuse, attempted sexual assault",8,Female,,,,,https://tribune.com.pk/epaper/news/Islamabad/2021-02-17/MjA4ZDI1MzRmNTZkMDFjOTEzMzlkNzVlMjFhMjRjNTcuanBlZw%3D%3D,,,
"18th February, 2021",Dijkot,Punjab,A shopkeeper allegedly raped a five-year-old girl,"Child abuse, rape",5,Female,,,,,https://tribune.com.pk/story/2284909/two-minors-women-allegedly-raped-in-dijkot?amp=1,,,
"18th February, 2021",Dijkot,Punjab,A 11-year-old boy was allegedly abducted by 3 men and taken to a place where he was molested,"Child abuse, sexual assault",11,Male,,,,,https://tribune.com.pk/story/2284909/two-minors-women-allegedly-raped-in-dijkot?amp=1,,,
"18th February, 2021",Dijkot,Punjab,A girl was allegedly raped by 3 men.,Gang rape,18,Female,,,,,https://tribune.com.pk/story/2284909/two-minors-women-allegedly-raped-in-dijkot?amp=1,,,
"18th February, 2021",Dijkot,Punjab,A woman accused her husband of sexual violence,Marital rape,,Female,,,,,https://tribune.com.pk/story/2284909/two-minors-women-allegedly-raped-in-dijkot?amp=1,,,
"18th February, 2021",Peshawar,KP,A man brutally killed his own mother after her fight with his wife,"Domestic violence, murder",,Female,,,,,https://tribune.com.pk/story/2283981/man-kills-mother-over-domestic-dispute,,,
"19th February, 2021",Rawalpindi,Punjab,"Two brothers, along with accomplices, broke into the house of their sister to assault her over marrying out of her own free will","Assault, death threats",,Female,,,,,https://tribune.com.pk/epaper/news/Islamabad/2021-02-19/YzkwYzM1Nzk3YWUwN2RkNDQ0ZjZjZTYyMWQ4MDIxOWUuanBlZw%3D%3D,,,
"19th February, 2021",Gujrat,Punjab,Three suspects abducted a girl who refused to marry after a friendship on social media.,Kidnapping,22,Female,,,,,https://tribune.com.pk/story/2284911/in-gujrat-girl-abducted-for-refusing-marriage-proposal,,,
"19th February, 2021",Faislabad,Punjab,A man offered to drop a young woman home and allegedly raped her at a secluded place.,"Rape, kidnapping",,Female,,,,,https://tribune.com.pk/story/2285113/man-offers-woman-a-lift-rapes-her-in-faisalabad,,,
"20th February, 2021",Karachi,Sindh,Two held for sexually assaulting a minor girl,"Child abuse, sexual assault",6,Female,,,,,https://www.thenews.com.pk/print/793161-two-held-for-sexually-assaulting-minor-girl; https://tribune.com.pk/epaper/news/Karachi/2021-02-22/MGFmNGE2Njg3NzFmZTcwYjM1MmJkNDk1NmE2OGIzYzMuanBlZw%3D%3D,Yes,https://www.thenews.com.pk/print/794144-fir-registered-against-two-men-in-minor-girl-s-rape-case,
"20th February, 2021",Sukkur,Sindh,A young woman was shot dead by her paternal cousin,"Domestic violence, murder",,Female,,,,,https://www.dawn.com/news/1608452/young-woman-shot-dead-by-cousin,,,
"20th February, 2021",Mardan,KP,A man and his second wife were gunned down by the brothers of his first wife,"Domestic violence, murder",,Female,Male,,,,https://tribune.com.pk/story/2285347/man-wife-gunned-down-over-domestic-dispute,,,
"21st February, 2021",Lakki Marwat,KP,A teenage girl and young man were killed for honour,"Honour killing, murder","18, 25",Female,Male,,,,https://www.dawn.com/news/1608295/teenage-girl-man-killed-for-honour-in-bannu,,,
"21st February, 2021",Lahore,Punjab,Minor girl allegedly raped by neighbour,"Child abuse, rape",12,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-02-22/NTQ5ODE3NGU0MDkwMzBjYmY2MjI0ZjM2YzA2MDQwYzAuanBlZw%3D%3D,,,
"22nd February, 2021",Mir Ali,KP,Four women were killed and a driver sustained injuries when unidentified gunmen opened fire on the vehicle of a NGO,Murder,,Female,Female,Female,Female,,https://www.thenews.com.pk/print/794370-four-women-killed-in-attack-on-ngo-vehicle-in-n-waziristan,,,
"22nd February, 2021",Lahore,Punjab,A woman set her two children ablaze over a scuffle with her husband and later tried to dub it as an incident of short-circuit,"Domestic violence, murder","3,4 ",Male,Male,,,,https://www.thenews.com.pk/print/794207-mother-sets-children-ablaze-over-domestic-dispute; https://www.dawn.com/news/1608829/woman-sets-two-minor-sons-ablaze-in-lahore,,,
"23rd February, 2021",Lahore,Punjab,A woman toruted to death by her inlaws.,"Domestic violence, murder",21,Female,,,,,https://www.thenews.com.pk/print/794790-woman-tortured-to-death-by-in-laws,,,
"23rd February, 2021",Dijkot,Punjab,12-year-old sexually assaulted by tutor’s husband,"Child abuse, sexual assault",12,Male,,,,,https://tribune.com.pk/story/2285629/12-year-old-sexually-assaulted-by-tutors-husband-in-dijkot,,,
"23rd February, 2021",Dijkot,Punjab,Attempted rape agaisnt 10-year-old girl ,"Child abuse, attempted rape",10,Female,,,,,https://tribune.com.pk/story/2285629/12-year-old-sexually-assaulted-by-tutors-husband-in-dijkot,,,
"23rd February, 2021",Dadu,Sindh,An 11-year-old girl was subjected to criminal assault in a street as she played there,"Child abuse, rape",11,Female,,,,,https://www.dawn.com/news/1608991/11-year-old-girl-raped-in-street-by-two-suspects-in-dadu,,,
"23rd February, 2021",Lahore,Punjab,A woman was killed by husband and in laws,"Domestic violence, murder, torture",21,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-02-24/NWM2NGFmNTRjYWQ1MWE4YmY1MDdlNGYwN2FhNjk5MmMuanBlZw%3D%3D,,,
"23rd February, 2021",Kurianwala,Punjab,A woman was allegedly axed to death,"Murder, torture",,Female,,,,,https://tribune.com.pk/story/2285847/woman-hacked-to-death,,,
"24th February, 2021",Karachi,Sindh,Police arrested a woman for torturing her elderly mother-in-law after a video showing her severely thrashing her mother-in-law went viral on social media.,"Domestic violence, physical assault",70,Female,,,,,https://www.thenews.com.pk/print/795289-woman-seen-beating-up-mother-in-law-in-video-arrested-police,,,
"24th February, 2021",Lahore,Punjab,An elderly man allegedly shot his daughter dead and injured her friend critically in the name of honour,"Domestic violence, murder, honour killing",,Female,Male,,,,https://www.dawn.com/news/1609218/man-kills-daughter-for-honour-in-lahore,,,
"24th February, 2021",Swat,KP,Four killed in different incidents of honour killings ,"Honour killing, murder",,,,,,,https://tribune.com.pk/epaper/2021-02-26/1,,,
"25th February, 2021",Lahore,Punjab,A 40-year-old man was allegedly killed by his wife and the man with whom she was allegedly having an affair,Domestic violence,40,Male,,,,,https://www.dawn.com/news/1609430/man-killed-by-wife-her-friend,,,
"26th February, 2021",Haripur,KP,The police arrested a man for allegedly molesting a seven-year-old boy while he was playing outside,"Child abuse, sexual assault",7,Male,,,,,https://www.dawn.com/news/1609558/man-held-for-assaulting-boy-in-haripur,,,
"26th February, 2021",Haripur,KP,A man stabbed his wife to death for allegedly demanding divorce,"Domestic violence, murder",,Female,,,,,https://www.dawn.com/news/1609558/man-held-for-assaulting-boy-in-haripur,,,
"26th February, 2021",Sahiwal,Punjab,A local singer and dancer was subjected to physical torture and rape by her trainer at her house,"Physical assault, rape, torture",,Female,,,,,https://www.dawn.com/news/1610325/dancer-raped-tortured-by-her-trainer,,,
"26th February, 2021",Karachi,Sindh,Teenage girl was recovered after abudction for avenging her brother. The girl was beaten and raped.,"Child abuse, rape, abduction, torture","Unknown, but minor",Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-02-27/OTg1ZDM2NTRmYTRmYTVjZTcyNjAzZWQzZDczOGM3MWMuanBlZw%3D%3D,,,
"26th February, 2021",Kurianwala,Punjab,A man and his daughter-in-law foiled a rape attempt on his teenage daughter,"Child abuse, attempted rape","Unknown, but minor",Female,,,,,https://tribune.com.pk/story/2286512/rape-attempt-on-teenage-girl-foiled,,,
"28th February, 2021",Rawalpindi,Punjab,"A man allegedly tortured his wife, stripped off her clothes and later pushed her out of his house. The girl was married off a few days ago and was 14. The man was later arrested.","Domestic violence, underage marriage",,Female,,,,,https://www.dawn.com/news/1610371/minor-sexually-assaulted; https://tribune.com.pk/story/2287153/rawalpindi-man-held-for-forcing-teenage-wife-naked-out-of-home,,,
"28th February, 2021",Chak Jhumra,Punjab,"Two cousins who had gone to see the henna function of Dilawar Jutt were threatened them at gunpoint by the accused and the suspects took them to a nearby crop field, where they subjected the minors to sexual abuse.","Child abuse, sexual abuse","12, 14",Male,Male,,,,https://tribune.com.pk/story/2286861/woman-two-boys-allegedly-sexually-assaulted,,,
"28th February, 2021",Chak Jhumra,Punjab,A woman was raped at gunpoint after entering her house.,Rape,20,Female,,,,,https://tribune.com.pk/story/2286861/woman-two-boys-allegedly-sexually-assaulted,,,
"1st March, 2021",Toba Tek Singh,Punjab,A man allegedly raped a visually-challenged girl,"Child abuse, rape",17,Female,,,,,https://www.dawn.com/news/1610223/girl-assaulted,,,
"1st March, 2021",Bhawalpur,Punjab,"A woman was attacked with acid by her husband and in-laws, sustaining serious burns. She had earlier filed a case against her husband for subjecting her to torture.","Domestic abuse, acid attack",,Female,,,,,https://www.dawn.com/news/1610227/woman-burnt-in-acid-attack-by-in-laws,,,
"1st March, 2021",Rawalpindi,Punjab,A six-year-old boy was allegedly sexually abused by a man. The victim was playing in the street when a man came and offered him sweets and took him to an under-construction house where he sexually abused him,"Child abuse, sexual assault",6,Male,,,,,https://www.dawn.com/news/1610371/minor-sexually-assaulted,,,
"1st March, 2021",Lahore,Punjab,Man held for harassing a woman in market,Harassment,,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-03-02/ZWQ0ZTVmYTM2MjBlZDk1Y2Y2NjAzMWYyNDkyNmU2ZjcuanBlZw%3D%3D,,,
