Application Name||Description||Publisher||Version||Last Update||Installs||Android Compatability||Category||Functions||Audience||Useability Status||Playstore Rating||Playstore URL
Sehat Sahulat Card||"Sehat Sahulat Program is a milestone towards social welfare reforms; ensuring that the identified under-privileged citizens across the country get access to their entitled medical health care in a swift and dignified manner without any financial obligations.
Sehat Sahulat Program is a milestone towards social welfare reforms; ensuring that the identified under-privileged citizens across the country get access to their entitled medical health care in a swift and dignified manner without any financial obligations. The SSP program’s objective is to improve access of the poor population to good quality medical services, through a micro health insurance scheme.

TREATMENT PACKAGES
SECONDARY CARE
INITIAL COVERAGE PKR 60,000 / FAMILY / YEAR
ADDITIONAL COVERAGE PKR 60,000 / FAMILY
In Patient Services (All Medical and Surgical Procedures).
Emergency Treatment requiring admission.
Maternity Services (Normal Delivery and C – Section).
Maternity Consultancy / Antenatal Checkups (4 times before delivery and one follow up after delivery).
Maternal Consultancy for family planning, immunization and nutrition.
Fractures / Injuries.
Post hospitalization.
Local Transportation Cost of PKR 1,000 (thrice per year).
Provision of transport to tertiary care hospitals.

PRIORITY TREATMENT
INITIAL COVERAGE PKR 300,000 / FAMILY / YEAR
ADDITIONAL COVERAGE PKR 300,000 / FAMILY
In Patient Services (All Medical and Surgical Procedures).
Heart diseases (Angioplasty/bypass).
Diabetes Mellitus Completion.
Burns and RTA (Life, Limb Saving Treatment, implants, Prosthesis).
End stage kidney diseases/ dialysis.
Chronic infections (Hepatitis/HIV).
Organ Failure (Liver, Kidney, Heart, Lungs).
Cancer (Chemo, Radio, Surgery).
Neurosurgical Procedure."||Opoole Tech Pvt Ltd||1.2||22/8/2020||100,000+||4.1 and up||Welfare||Unclear||General||Unclear, might have had its support dropped.||3.6/5 (285)||https://play.google.com/store/apps/details?id=com.opooletech.sehatsahulat&hl=en&gl=US
Sehat Sahulat Mobile Application||"SEHAT SAHULAT MOBILE APPLICATION is designed to assist the families covered by State Life Insurance Corporation under the flagship health insurance programs of the Government of Pakistan.
The Sehat Sahulat mobile app provides the detail of your health care plan, coverage and our service points. Now the complete information of Sahulat Sahulat Progam is in your hands.
• Know Your Card Limits: You can find the available balance in your Health Card / CNIC.
• Know Program Features: The application provides detailed features of your covered health care program. You can download our booklet and leaflet to have a thorough insight of program.
• Find Nearby Hospitals: Want to avail treatment? Find our panel network of 500+ hospitals and services offered by them.
• Lodge your complaint: Dissatisfied with the services of panel hospital, you can logde complain through your mobile app. Our representative will contact you in no time to resolve the issue.
• Animated Videos: We keep developing new animated stuff to keep you aware of the latest features, updates, and newsfeed.
• Your Treatments Details: The application provides details of your previous admissions at our panel hospitals. You will also know how much we spent on your treatment.
• Provide Feedback: You can give feedback to improve quality. We are ready to provide the best services,
• Call our Callcenter Agent: Do you want to know more? You can directly call our call centre agents, who will provide complete guidance about your queries"||State Life Health Insurance||1||22/5/2021||1,000+||4.2 and up||Welfare||Information Provision, Registration Status, Complaint Management, Service Locator||General||LIkely unusable. Lots of OTP/Login issues.||3.8/5 (57)||https://play.google.com/store/apps/details?id=com.statelife.ssp
Sindh High Court - Case Flow Management V1.0.1||"Advocate/Litigant need to register themself by providing Name and valid CNIC,
which helps them view their case(s) upcoming hearing date(s). Furthermore, the Litigant/Advocate can search for cases submitted at District Courts and Principal Seat Karachi.
Following features are available in this version:
1. SHC Case Search
2. District Case Search
3. SHC Cause List
4. District Cause List
5. Name of Hon'ble Judges
6. Roster Sittings
7. My Cases
8. OCP (online Case Proceedings) Principal Seat Karachi and District Court"||IT Dept. Sindh High Court Karachi||1.0.5||8/12/2020||10,000+||5.1 and up||Law, Spec Service||Unclear||Advocates/Litigants||Usable. ||4.6/5 (78)||https://play.google.com/store/apps/details?id=com.sindhhighcourt.shccaseflowmanagement&hl=en&gl=US
SIS Punjab||School Information System App is used by Public Schools of Punjab, Pakistan, to self-report data in real-time. To use this app, all schools must first be registered with the School Education Department.||Punjab IT Board||5.3.11||7/6/2021||500,000+||4.1 and up||Education||Real Time Information Provision, Real Time Data Collection||General||Likely Unusable||3/5 (19345)||https://play.google.com/store/apps/details?id=pk.gov.pitb.sis&hl=en&gl=US
Special Education Department (GOP)||"An Official App by Special Education Department (Government of Punjab, Pakistan)

* This application provides a platform for public to search their nearby special need schools with in 50 km radius of their location for admission purposes.

* All the relevant information regarding the school facilities can be seen through school profile view.

* List of all special education school across Punjab can also be viewed.

* Admission request can be sent through inquiry form to the relevant school administration.

* Guidelines for admission are available under inquiry option.

*For further details and guidance user can also contact us 1162 via this app."||Punjab IT Board||1||4/12/2019||1,000+||4.1 and up||Inclusivity||Unclear||General||Unclear||3.9/5 (18)||
SPPAP Geo Tagging||SPPAP's goal is to contribute to the reduction of poverty in Southern Punjab. Using this application, they can better monitor the progress of different schemes in different districts of Punjab.||Punjab IT Board||1.3||27/11/2020||100+||4.1 and up||Welfare||Unclear||General||Unclear||N/a||https://play.google.com/store/apps/details?id=com.pk.gov.pitb.specialeducationdepartment&hl=en&gl=US
Supreme Court of Pakistan||"The main objective of this app is to provide access to Citizens, Litigants, Petitioners, Advocates and Academia to various dynamic searches and features. Supreme Court of Pakistan - SCP app is sure to be helpful to the lawyers to keep track of the proceedings in the Supreme Court. The app can be accessed by registering with a verified Mobile number. You can access the app even as a guest user. The dynamic searches of ""Supreme Court of Pakistan"" mobile app encompass the following:

Online Case search
Online Judgment search
Latest judgments
Roster of sittings
News and Updates

The user after logging in can get a more personalized experience which allows them to view:
My Cause list
The user will also receive case updates and important notifications and alerts periodically."||National Database & Registration Authority||1.1.2||2/7/2020||10,000+||5.0 and up||Law||Unclear||General||Usable. ||4.2/5 (144)||https://play.google.com/store/apps/details?id=pk.gov.supremecourt&hl=en&gl=US
Taleem Ghar||"The Taleem Ghar project is collaboration between School Education Department, Government of the Punjab, its Program Monitoring and Implementation Unit (PMIU), and the Punjab IT Board (PITB).
It aims to make available localized and engaging multimedia lessons online, for public school students - via CableTV, a Smartphone App, and this website.
Everyone is welcome to visit, explore and learn!"||Punjab IT Board||1.1||15/07/2020||10,000+||4.4 and up||Education||Digital Textbooks||General||Usable. ||4.2/5 (126)||https://play.google.com/store/apps/details?id=com.pitb.gov.taleemghar&hl=en&gl=US
Tenant & Employee Registration Mobile App||"The Punjab Information Technology Board (PITB) has developed a smartphone application titled “Tenant and Employee Registration” in collaboration with Punjab Police aiming to provide citizen-centric solutions to general public for tenant and house hold employees registration and verification.

This application will facilitate the citizens in various domains such as creating their profiles, registering tenants and house hold employees. In addition to that, criminal records will also be checked against CNIC of the tenants and employees. If the person in question (tenant or employee) has a criminal record, the owner will be informed immediately through the app and also, area's police station will be notified."||Punjab IT Board||1.13||8/4/2021||10,000+||5.0 and up||Housing||Tenant and household employee Registration and Verification||General||Likely unusable.||3.1/5 (80)||https://play.google.com/store/apps/details?id=org.projects.cps2.privateemployee&hl=en&gl=US
Toilet Square||"This application aims to build a social network of caring citizens concerned about public toilet/sanitation needs. On top of it we will connect experts/vendors and donors who would help address a reported sanitation need in a particular locality.

Citizens will not only be able to share with others where existing toilet facilities are but will also be able to rate a toilet based on its state & condition and give their concrete feedback.

Anyone opening the app for the first time will be able to see list of public toilets within 100 meter radius of his/her current geo-location and shortest walking path to reach that place.

Apart from this citizens will be able to report sanitation need (like lack of cleanliness, water shortage, sewerage blockage, etc.) in a particular area.

Vendors will have an exclusive list of sanitation needs of area they want to follow (based on their competency & skill set), reported by concerned citizens. They will also be able to propose solution with time and cost.

Donors will have an exclusive list of sanitation needs they want to follow (i.e. something they care more about), reported by concerned citizens. They will also be able to pledge donation amount for each need they want to be addressed."||Punjab IT Board||Alpha 2.3||11/3/2013||100+||2.1 and up||General||Unclear||General||Unclear||3.8/5 (6)||https://play.google.com/store/apps/details?id=com.toilet.square&hl=en&gl=US
Tourist Facilitation||"The Punjab Information Technology Board (PITB) has developed a smartphone application titled “Tourist Facilitation App” in collaboration with Punjab Police aiming to provide citizen-centric solutions to tourists, local or foreigner, to help find all sorts of information needed.

This application will facilitate the tourists in various domains such as registering their hosts (if foreigner), call police, highway or motorway police or even ambulance in case of medical emergency. This app also aims to help find tourists restaurants, local attractions and hotels nearest to them or in specific city in Pakistan. Tourist can also remain updated about traffic and weather situations in a city they plan to visit. User can send alert with their location to seek medical and legal assistance. Tourist can also find nearest police stations and local embassies in case of legal assistance."||Punjab IT Board||1.1||19/03/2021||100+||5.0 and up||Tourism||Information Provision, Real Time Information Provision, Helpline, Service Locator ||General||Unclear||N/a||https://play.google.com/store/apps/details?id=com.punjabpolice.touristfacilitationapp&hl=en&gl=US
W&S CMS||WASA CMS application provides solution in hands to the general public for registering the complaints related to their zone. The purpose of this application is to launch complaint related to operations (which includes manhole issues, water shortage, de-silting, ponding or pipe leakage etc.) and revenue type (which includes billing problem, meter reading issue or adjustment of bill etc.). It is used by general public. Complainant's and complaint's information is entered in the form and related complaint's picture is captured||Punjab IT Board||1.0.28||5/4/2021||500+||5.0 and up||Municipial Services||Complaint Management||General||Unclear||2.4/5 (8)||https://play.google.com/store/apps/details?id=com.PITB.WasaComplaints&hl=en&gl=US
Walled City - Help Family||"The Walled City of Lahore, officially called the “Androon Shehr” is administered by Walled City Lahore Authority (WCLA). The area majorly consists of lower middle class families who depend on single male bread winners. Most of them are now jobless because of Covid-19 lockdown and prevailing economic situation.

WCLA has started an initiative, “Adopt a Family”, to assist the marginalized and needy families of the Walled City Lahore. WCLA along with the technical support of Punjab Information Technology Board (PITB) have launched this application to make vulnerable families directly accessible to potential donors for financial support during these tough times.

Donors can register themselves through this application. After due verification and approval by WCLA team, a deserving family will be assigned to the donor. Once done, donor will be able to see the assigned family's basic information (name, contact number etc.) and can then directly contact the family to provide donation/help.

The application provides an option to donor to enter details of help (cash or in-kind) provided to the family."||Punjab IT Board||1.0.1||5/7/2020||100+||4.3 and up||Welfare||Donor Registration and Matching||General||Usable||N/a||https://play.google.com/store/apps/details?id=pk.gov.pitb.walledCityHelpFamily&hl=en&gl=US
Zindagi||"The Ministry of Narcotics Control & UNODC suggests an innovative approach to control drugs use in the society. This app aims to revolutionize the prevention and treatment of drug abuse. It is designed to provide support and educate people to reduce drug dependency in schools, communities and the workplace.
This app features the complete collection of drug awareness, drug prevention & treatment, rehabs locations, success stories and supportive community to help and meditate drug effectees.

1.Drug Awareness: Protecting our nation’s youth from the dangers of drugs is among the most important responsibilities of the Ministry of Narcotics Control & UNODC. This app will provide an overview of drugs, its dangers and how addicts behaves towards it.

2.Drug Prevention and Treatment: Sharing of effective treatment approaches for drug abuse and addiction.


3.Rehabilitation/Success Stories: Effectiveness of the rehabilitated patients have been shared.

4.Location of nearby Rehab Centers & Medical Care: Locations of registered Rehab centers has been shared with the public citizens.

Why? Drug abuse is an increasing problem and prevention should be a priority in all of our society."||Punjab Safe Cities Authority||1.1||5/1/2020||10,000+||4.1 and up||Health||Information Provision, Service Locator||General||Usable||4.5/5 (299)||https://play.google.com/store/apps/details?id=com.psca.mnc.zindagi&hl=en&gl=US
